alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn,L_Nm,M_Nm,N_Nm,p_dot,q_dot,r_dot,V,qbar,alpha_eff_deg,beta_eff_deg
-10.0,-4.0,20.0,-5.0,-0.9149684309959412,0.06723727298259735,0.011808943003416061,0.006190099753439426,0.4189910590648651,-0.006360762286931276,1.4778145883527707,9.815371166234893,-1.5185582906718431,1.8472682354409633,81.79475971862412,-8.436434948176906,20.22374841615669,250.5125000000001,-10.0,-4.0
-10.0,-4.0,20.0,0.0,-0.9182104468345642,0.06659761456131935,0.005967981647700071,-0.005057845264673233,0.41851043701171875,-0.004469625186175108,-1.2075019491587304,9.804112014660541,-1.0670712214174627,-1.5093774364484132,81.70093345550451,-5.928173452319237,20.22374841615669,250.5125000000001,-10.0,-4.0
-10.0,-4.0,20.0,5.0,-0.9147064089775085,0.06536582124710083,0.0002267099334858358,-0.015628810971975327,0.41210636496543884,-0.002601417014375329,-3.731197520711973,9.654088899012589,-0.621058168262456,-4.663996900889966,80.45074082510492,-3.4503231570136443,20.22374841615669,250.5125000000001,-10.0,-4.0
-10.0,-4.0,20.0,10.0,-0.9057949185371399,0.06385680673003197,-0.005482121836394072,-0.025671517476439476,0.4009373188018799,-0.000756719324272126,-6.128777328791169,9.392440514646536,-0.18065797018480015,-7.660971660988961,78.27033762205447,-1.0036553899155563,20.22374841615669,250.5125000000001,-10.0,-4.0
-10.0,-2.0,-20.0,-10.0,-0.5371561050415039,0.03763435793399811,0.015397468581795692,0.024664323776960373,0.07213018834590912,-0.005473660305142403,5.888321503897526,1.6897367034171569,-1.3067729718139633,7.360401879871907,14.081139195142974,-7.259849843410907,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
-10.0,-2.0,-20.0,-5.0,-0.5341120958328247,0.038263224189281464,0.009980158880352974,0.01320814061909914,0.07400138676166534,-0.003758894046768546,3.1532905234804973,1.7335717843310787,-0.8973923974812238,3.9416131543506214,14.446431536092323,-4.985513319340132,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
-10.0,-2.0,-20.0,0.0,-0.5394166111946106,0.039959883441329,0.004064919892698526,0.0004942537052556872,0.08409903943538666,-0.0019520322093740106,0.11799734496498572,1.9701214833187009,-0.4660250708148191,0.14749668120623216,16.41767902765584,-2.5890281711934393,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
-10.0,-2.0,-20.0,5.0,-0.5533986687660217,0.04235473660111427,-0.002243439666926861,-0.012987088412046432,0.10161790251731873,-8.838062785798684e-05,-3.1005168704891126,2.3805219914903852,-0.02109985079056906,-3.8756460881113908,19.83768326241988,-0.11722139328093922,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
-10.0,-2.0,-20.0,10.0,-0.5721340775489807,0.04536630225658417,-0.008555807173252106,-0.026248130947351456,0.12332697212696075,0.0017406090628355742,-6.2664371134628105,2.8890831440071953,0.4155502444444779,-7.833046391828513,24.07569286672663,2.3086124691359884,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
-10.0,-2.0,-10.0,-10.0,-0.6332988142967224,0.04075339262664318,0.01650836504995823,0.02408774010837078,0.15593886375427246,-0.005788817070424557,5.750668834185021,3.6530560590128527,-1.38201299764606,7.188336042731276,30.442133825107106,-7.677849986922555,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
-10.0,-2.0,-10.0,-5.0,-0.6370261311531067,0.039819035803079605,0.010363921523094177,0.012282191775739193,0.15919315814971924,-0.0038981949910521507,2.932230966560532,3.7292918322696824,-0.9306488837792425,3.665288708200665,31.077431935580687,-5.170271576551347,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
-10.0,-2.0,-10.0,0.0,-0.6446007490158081,0.04029429343819618,0.0038845681119710207,-0.0003689098812174052,0.1668323278427124,-0.0019437646260485053,-0.08807295939740692,3.908248600717031,-0.4640512810964765,-0.11009119924675864,32.568738339308595,-2.5780626727582026,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
-10.0,-2.0,-10.0,5.0,-0.6542136073112488,0.04205051821947098,-0.0028054267168045044,-0.013525145128369331,0.17745697498321533,3.6469369661062956e-05,-3.228971676779004,4.157143781027234,0.008706639417757837,-4.036214595973755,34.64286484189362,0.04837021898754354,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
-10.0,-2.0,-10.0,10.0,-0.6634519696235657,0.04495679972052574,-0.009380078874528408,-0.026442361995577812,0.18910938501358032,0.0019560426007956266,-6.3128075255745815,4.430115547261235,0.46698250529631935,-7.891009406968227,36.9176295605103,2.5943472516462185,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
-10.0,-2.0,0.0,-10.0,-0.7423295378684998,0.04778052133798599,0.01699874922633171,0.02303214743733406,0.25286081433296204,-0.006052710115909576,5.498658315655079,5.923569709610909,-1.4450144043949438,6.873322894568848,49.36308091342425,-8.027857802194132,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
-10.0,-2.0,0.0,-5.0,-0.746523916721344,0.04600911972403526,0.010352853685617447,0.010912693105638027,0.255473256111145,-0.004019161686301231,2.6052790281397185,5.984769310767732,-0.9595282805683794,3.2565987851746483,49.87307758973111,-5.3307126698243295,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
-10.0,-2.0,0.0,0.0,-0.7486762404441833,0.04543590558052063,0.003576163901016116,-0.0013736708788201213,0.25733450055122375,-0.0019796069245785475,-0.32794800490699577,6.028371207789681,-0.47260821454788987,-0.40993500613374473,50.23642673158068,-2.6256011919327213,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
-10.0,-2.0,0.0,5.0,-0.7483964562416077,0.04607573536515236,-0.003213542513549328,-0.013683040626347065,0.2583601772785187,3.937690780730918e-05,-3.2666673973071054,6.052398922837917,0.009400780459075853,-4.083334246633882,50.43665769031598,0.052226558105976956,20.22374841615669,250.5125000000001,-10.000000000000002,-2.0000000000000004
