alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn
6.0,0.0,-10.0,-2.0,0.534786954276,0.023275622084,0.001215815572,0.00469792317,-0.166858092215,-7.449316e-05
6.0,2.0,-10.0,-2.0,0.533590099215,0.02322971617,-0.001706575315,-0.000643403795,-0.166264297161,-5.5357768e-05
8.0,-2.0,-10.0,-2.0,0.682819447275,0.032125353151,0.003633474738,0.010636705083,-0.214036360224,0.000203803978
8.0,0.0,-10.0,-2.0,0.682899582518,0.032039057284,0.00102535455,0.004643697511,-0.213531231239,4.8372707e-05
8.0,2.0,-10.0,-2.0,0.681515325506,0.031973944353,-0.001587196281,-0.001358173243,-0.212885168156,-0.000107438937
10.0,-2.0,-10.0,-2.0,0.830105658463,0.042946783388,0.003091147472,0.011227443466,-0.261262690868,0.000483008239
10.0,0.0,-10.0,-2.0,0.830384513245,0.042871826339,0.000835854209,0.004582201755,-0.260826511742,0.000169229658
10.0,2.0,-10.0,-2.0,0.828809385523,0.042784144247,-0.001423686848,-0.002071808126,-0.260118689805,-0.000145327077
-10.0,-2.0,-10.0,0.0,-0.641443866347,0.030211614953,0.00402439772,-5.6706057e-05,0.166961903313,-0.001985282244
-10.0,0.0,-10.0,0.0,-0.642497871675,0.030207353597,1.340815e-06,6.80467e-07,0.167494021869,-3.60924e-07
-10.0,2.0,-10.0,0.0,-0.641443937376,0.030211501754,-0.004021781645,5.7991067e-05,0.166962210223,0.001984582957
-8.0,-2.0,-10.0,0.0,-0.497487535992,0.021891245263,0.004016577801,0.000621618868,0.130132695507,-0.001687196539
-8.0,0.0,-10.0,0.0,-0.498349175392,0.021872205244,1.002489e-06,5.69146e-07,0.130607468294,-2.5852e-07
-8.0,2.0,-10.0,0.0,-0.49748759919,0.021891170731,-0.004014565275,-0.000620475747,0.130132928364,0.001686681369
-6.0,-2.0,-10.0,0.0,-0.35217880248,0.015648641287,0.003972917818,0.001299800199,0.091681200439,-0.001403224898
-6.0,0.0,-10.0,0.0,-0.352845401667,0.015618297599,6.94386e-07,4.34383e-07,0.092094883544,-1.70864e-07
-6.0,2.0,-10.0,0.0,-0.35217839921,0.015648594666,-0.003971904659,-0.001299285885,0.09168030185,0.00140297419
-4.0,-2.0,-10.0,0.0,-0.205754212302,0.0115234091,0.00389295308,0.001977971838,0.051702001675,-0.001133909107
-4.0,0.0,-10.0,0.0,-0.206225677658,0.011485234301,1.68868e-07,7.7704e-08,0.052054363802,-4.0869e-08
-4.0,2.0,-10.0,0.0,-0.205754453034,0.011523393015,-0.003892615524,-0.001977853981,0.051702150846,0.001133826391
-2.0,-2.0,-10.0,0.0,-0.058456379048,0.00954362899,0.003775010039,0.002654790883,0.010301644423,-0.00087942188
-2.0,0.0,-10.0,0.0,-0.058672950359,0.009500663886,3.0015e-08,-4.6176e-08,0.010495599292,-7.452e-09
-2.0,2.0,-10.0,0.0,-0.058455123865,0.009543607471,-0.003774877211,-0.002654821204,0.010300590645,0.000879401953
0.0,-2.0,-10.0,0.0,0.089468841568,0.00972584672,0.003618853561,0.003330065781,-0.032403040692,-0.000640203996
0.0,0.0,-10.0,0.0,0.089443183756,0.00968261708,-2.9018e-08,-7.1113e-08,-0.032261761168,6.049e-09
0.0,2.0,-10.0,0.0,0.08946885416,0.009725859542,-0.00361883406,-0.003330111266,-0.03240291347,0.000640204425
2.0,-2.0,-10.0,0.0,0.237777134871,0.012074570261,0.003423479035,0.0040023711,-0.076293078498,-0.000416484169
