alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn,source_file
2.0,4.0,-15.0,0.0,0.285555648788,0.015244289301,-0.006809163945,0.008771274697,-0.119668360339,-0.000807657843,pitch_-15_cleaned.csv
2.0,6.0,-15.0,0.0,0.284654901829,0.015433250926,-0.010181495613,0.013105803019,-0.12008184271,-0.001203960419,pitch_-15_cleaned.csv
4.0,-6.0,-15.0,0.0,0.431077239745,0.020457925275,0.00941975923,-0.015091197964,-0.16432505074,0.000579332351,pitch_-15_cleaned.csv
4.0,-4.0,-15.0,0.0,0.432954715138,0.020302787423,0.006277065951,-0.010090082937,-0.164263363721,0.000385354441,pitch_-15_cleaned.csv
4.0,-2.0,-15.0,0.0,0.434063895614,0.020209837705,0.003138710728,-0.005054668042,-0.164191687228,0.000192674349,pitch_-15_cleaned.csv
4.0,0.0,-15.0,0.0,0.434469629178,0.020179335028,-2.43688e-07,2.56453e-07,-0.1642251836,-3.4371e-08,pitch_-15_cleaned.csv
4.0,2.0,-15.0,0.0,0.434064025233,0.020209824666,-0.003139156518,0.005055153845,-0.164191900761,-0.000192733815,pitch_-15_cleaned.csv
4.0,4.0,-15.0,0.0,0.432955039684,0.020302768797,-0.006277491972,0.010090565842,-0.164263884061,-0.000385406541,pitch_-15_cleaned.csv
4.0,6.0,-15.0,0.0,0.431077793972,0.020457919687,-0.009420198314,0.015091694223,-0.164325605849,-0.000579382982,pitch_-15_cleaned.csv
6.0,-6.0,-15.0,0.0,0.577316111123,0.027572765946,0.008544403887,-0.017062906226,-0.209398480929,3.082613e-06,pitch_-15_cleaned.csv
6.0,-4.0,-15.0,0.0,0.580141660071,0.027468794957,0.005693707641,-0.011411116634,-0.209648118825,3.09949e-07,pitch_-15_cleaned.csv
6.0,-2.0,-15.0,0.0,0.58183381006,0.027406554669,0.002846979639,-0.005717970364,-0.209780452349,-2.86727e-07,pitch_-15_cleaned.csv
6.0,0.0,-15.0,0.0,0.582419975487,0.027386223897,-4.89531e-07,5.44552e-07,-0.20986185495,-3.3141e-08,pitch_-15_cleaned.csv
6.0,2.0,-15.0,0.0,0.581828355001,0.027406290174,-0.002846777946,0.00571768528,-0.209774440675,3.07442e-07,pitch_-15_cleaned.csv
6.0,4.0,-15.0,0.0,0.580141814611,0.027468767017,-0.005694550647,0.011412080767,-0.209648318888,-3.51199e-07,pitch_-15_cleaned.csv
6.0,6.0,-15.0,0.0,0.577316552485,0.027572708204,-0.00854510366,0.017063767912,-0.209399229995,-3.096219e-06,pitch_-15_cleaned.csv
8.0,-6.0,-15.0,0.0,0.723126402667,0.036745455116,0.007558967907,-0.019019825677,-0.255164132087,-0.000523258721,pitch_-15_cleaned.csv
8.0,-4.0,-15.0,0.0,0.726896889299,0.036708243191,0.005036325393,-0.012720651259,-0.25572562545,-0.000351343309,pitch_-15_cleaned.csv
