alpha_deg,beta_deg,deltaS_deg,deltaD_deg,CL,CD,CY,Cl,Cm,Cn
10,6,-18,0,0.893310744,0.051149021,-0.006294991,-0.021591237,-0.324315089,-0.001016146
12,-6,-18,0,1.037001295,0.064507622,0.00506757,0.023499741,-0.370658153,0.001443251
12,-4,-18,0,1.042784155,0.064669588,0.003371226,0.015722952,-0.371987166,0.000965997
12,-2,-18,0,1.046276917,0.06476794,0.00169369,0.00788406,-0.372806929,0.000482886
12,0,-18,0,1.047466161,0.064803636,-1.10E-06,-2.72E-06,-0.373077206,-1.78E-07
12,2,-18,0,1.046276369,0.064768115,-0.00169589,-0.007889547,-0.372806893,-0.000483272
12,4,-18,0,1.042782702,0.064669963,-0.003373361,-0.015728303,-0.371986769,-0.000966334
12,6,-18,0,1.036999124,0.064508037,-0.005069537,-0.023504955,-0.370657668,-0.001443623
14,-6,-18,0,1.179477639,0.079733139,0.003745039,0.025389203,-0.417183795,0.001816906
14,-4,-18,0,1.18619816,0.080010038,0.002488204,0.016988303,-0.418838162,0.001215134
14,-2,-18,0,1.190253112,0.080176537,0.001245131,0.008515603,-0.419853542,0.000608281
14,0,-18,0,1.191634445,0.080235959,-1.43E-06,-3.43E-06,-0.420190255,-5.50E-07
14,2,-18,0,1.190252209,0.080176413,-0.001248049,-0.008522575,-0.419853596,-0.000609413
14,4,-18,0,1.18619607,0.080009572,-0.002491056,-0.016995134,-0.418837759,-0.001216165
14,6,-18,0,1.179474079,0.079732457,-0.00374756,-0.025395793,-0.417183287,-0.00181794
16,-6,-18,0,1.320510564,0.096745902,0.002332214,0.027251976,-0.463739552,0.002135954
16,-4,-18,0,1.328154768,0.097149677,0.001544618,0.01823692,-0.465713403,0.001427915
16,-2,-18,0,1.332766468,0.097392986,0.000766152,0.0091382,-0.466923031,0.000715193
16,0,-18,0,1.33434031,0.097478952,-1.98E-06,-4.77E-06,-0.467329403,-9.78E-07
16,2,-18,0,1.332765489,0.097392915,-0.000770017,-0.009147648,-0.466923363,-0.000717141
16,4,-18,0,1.328152297,0.097149739,-0.001548255,-0.018245995,-0.465713603,-0.001429769
16,6,-18,0,1.320507109,0.096745478,-0.002335618,-0.027260803,-0.463740133,-0.002137845
18,-6,-18,0,1.459853479,0.115456155,0.000836881,0.029086365,-0.510150411,0.002398483
18,-4,-18,0,1.468412469,0.115999672,0.000544255,0.019465966,-0.512443158,0.001603015
18,-2,-18,0,1.473578259,0.116326878,0.000259454,0.00975132,-0.513850453,0.000803002
18,0,-18,0,1.475258756,0.116429792,-2.53E-06,-6.36E-06,-0.514304772,-1.52E-06
18,2,-18,0,1.473571197,0.116322583,-0.000264968,-0.009763595,-0.51384798,-0.000805414
18,4,-18,0,1.468403585,0.115995246,-0.000549652,-0.019477732,-0.512441066,-0.001605404
18,6,-18,0,1.459844852,0.11545106,-0.00084208,-0.029098548,-0.51015264,-0.00240128
20,-6,-18,0,1.597275643,0.13576443,-0.000731626,0.030892623,-0.556255287,0.002603692
20,-4,-18,0,1.606725205,0.13645306,-0.000509706,0.020673737,-0.558851725,0.001740634
20,-2,-18,0,1.612449199,0.136873765,-0.000273594,0.010356618,-0.560471411,0.000872469
20,0,-18,0,1.614303597,0.137005198,-3.59E-06,-7.80E-06,-0.560980758,-1.52E-06
20,2,-18,0,1.612448043,0.136873941,0.000266479,-0.010372072,-0.560472302,-0.000875442
20,4,-18,0,1.606722086,0.136453229,0.000502589,-0.020689066,-0.55885303,-0.001743573
20,6,-18,0,1.597263659,0.135757526,0.000725231,-0.030908234,-0.556258847,-0.002607951
-10,-6,-16,0,-0.57458551,0.029573496,0.01247758,0.00127283,0.11276521,-0.005921116
-10,-4,-16,0,-0.579222105,0.029520788,0.008317307,0.000840404,0.114795458,-0.003960802
-10,-2,-16,0,-0.582013053,0.029489389,0.004133433,0.000406815,0.116018227,-0.001978425
-10,0,-16,0,-0.583019316,0.029482724,1.28E-06,8.45E-07,0.116516439,-3.95E-07
-10,2,-16,0,-0.582012951,0.029489214,-0.004131678,-0.000405525,0.11601963,0.001977848
-10,4,-16,0,-0.579222307,0.029520558,-0.008314766,-0.000838708,0.114795871,0.00396002
-10,6,-16,0,-0.574587258,0.029573551,-0.012475171,-0.001271525,0.112765691,0.005920413
-8,-6,-16,0,-0.432211791,0.022132274,0.012372651,0.003294133,0.076069116,-0.005027202
-8,-4,-16,0,-0.435928462,0.022015347,0.008249728,0.002193942,0.077835589,-0.003362564
-8,-2,-16,0,-0.438165692,0.021945318,0.004101646,0.001086037,0.078899403,-0.001679164
-8,0,-16,0,-0.438980563,0.021924923,8.72E-07,6.54E-07,0.079340649,-2.67E-07
-8,2,-16,0,-0.438166011,0.021945211,-0.004099893,-0.001084816,0.078899978,0.001678647
-8,4,-16,0,-0.43592884,0.022015242,-0.008247989,-0.002192622,0.077836117,0.003362038
-8,6,-16,0,-0.432212887,0.022132248,-0.012371541,-0.003293398,0.076069011,0.005026866
-6,-6,-16,0,-0.28853696,0.016730911,0.012113919,0.00529507,0.037778575,-0.004163732
-6,-4,-16,0,-0.291373066,0.016570924,0.008110491,0.003546417,0.039347507,-0.002792307
-6,-2,-16,0,-0.293050898,0.016472114,0.004034412,0.001764983,0.040245668,-0.001394014
-6,0,-16,0,-0.293672266,0.01644141,6.33E-07,4.08E-07,0.040627615,-1.73E-07
-6,2,-16,0,-0.293051206,0.016472082,-0.004033171,-0.00176417,0.040245962,0.001393673
-6,4,-16,0,-0.291372973,0.016570862,-0.008109785,-0.003546002,0.039346725,0.002792099
-6,6,-16,0,-0.288537495,0.016730843,-0.012113539,-0.005294853,0.037778039,0.004163604
-4,-6,-16,0,-0.143891904,0.013414646,0.011798746,0.007313796,-0.001856794,-0.00335643
-4,-4,-16,0,-0.145790065,0.013222895,0.007897821,0.004896862,-0.000574535,-0.00225089
-4,-2,-16,0,-0.146907274,0.01310534,0.003929695,0.002442388,0.000156662,-0.001123155
-4,0,-16,0,-0.14733486,0.013067757,1.46E-07,6.65E-09,0.000477597,-4.01E-08
-4,2,-16,0,-0.14690799,0.013105319,-0.003929882,-0.002442787,0.000157377,0.001123189
-4,4,-16,0,-0.145791073,0.013222872,-0.007898097,-0.004897322,-0.000573893,0.002250952
-4,6,-16,0,-0.143893264,0.013414609,-0.011799054,-0.007314279,-0.001856184,0.003356509
-2,-6,-16,0,0.001533189,0.012202086,0.011371656,0.009328096,-0.042808493,-0.002593112
